,year,rating,imdb,rotten,original,action,adult,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film-noir,game-show,history,horror,music,musical,mystery,news,reality-tv,romance,sci-fi,short,sport,talk-show,thriller,war,western,type_movie,type_tv,label
count,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0,2132.0
mean,2015.9465290806754,13.181519699812382,7.284108818011258,88.48414634146341,0.19793621013133209,0.10384615384615385,0.0,0.07270168855534709,0.09390243902439024,0.06266416510318949,0.2030956848030019,0.1174484052532833,0.27898686679174484,0.4365853658536586,0.041932457786116324,0.04136960600375235,0.0,0.0024390243902439024,0.051594746716697934,0.034990619136960596,0.02823639774859287,0.011632270168855536,0.047748592870544095,0.002720450281425891,0.03714821763602251,0.0926829268292683,0.02204502814258912,0.0015947467166979364,0.02720450281425891,0.004784240150093809,0.07213883677298312,0.012101313320825514,0.003283302063789869,0.5651969981238274,0.4348030018761726,0.0
std,2.7222344587193175,4.501668280163794,0.7944601733480647,6.401398257125996,0.39853728294363466,0.2685523188817282,0.0,0.23632097083156414,0.2530348238992669,0.21863883718880026,0.3603660793682184,0.29653949665402507,0.39937692652173756,0.4328305131923566,0.16708396756350577,0.17767358482737428,0.0,0.048570929393560724,0.19807209919893168,0.16632176079719646,0.1346914872633664,0.07463824754211376,0.19343906923914886,0.04951297953425273,0.17015445706791926,0.25024235428716274,0.12787085019672018,0.03267071800125626,0.14175632729739793,0.06567414100716593,0.22792501144456742,0.09182386306620452,0.05383908487637415,0.4958474287284599,0.4958474287284599,0.0
min,2005.0,0.0,1.6,76.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,2015.0,10.4,6.8,83.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,2017.0,14.0,7.3,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
75%,2018.0,16.8,7.8,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
max,2020.0,18.0,9.5,100.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
