,year,rating,imdb,rotten,original,action,adult,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film-noir,game-show,history,horror,music,musical,mystery,news,reality-tv,romance,sci-fi,short,sport,talk-show,thriller,war,western,type_movie,type_tv,label
count,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0,1345.0
mean,2013.6148698884758,12.68639405204461,5.886542750929368,55.06275092936802,0.11821561338289963,0.17903345724907063,0.0,0.11107806691449815,0.06884758364312268,0.03494423791821561,0.3338289962825279,0.13427509293680298,0.06810408921933085,0.43524163568773233,0.07524163568773233,0.04981412639405204,0.0,0.00654275092936803,0.018438661710037177,0.07330855018587361,0.02096654275092937,0.011152416356877323,0.060966542750929366,0.001486988847583643,0.031375464684014864,0.1417100371747212,0.03717472118959108,0.006096654275092938,0.019182156133828995,0.0008921933085501858,0.14200743494423793,0.007137546468401487,0.0007434944237918215,0.7732342007434945,0.22676579925650558,3.0
std,6.369015783873598,4.465229508308544,0.9907533899043747,7.5382469138321415,0.3229833465780475,0.3465054536161473,0.0,0.28681976566897066,0.22278124572862487,0.1706029678297664,0.4267041993139527,0.3066110823424172,0.20845531921674232,0.43490689554086076,0.23117445108966572,0.20262865829736856,0.0,0.07764398966320325,0.1193444432020513,0.2331394447709137,0.11905113289202607,0.07535982016974957,0.21248379401513262,0.03854714590046905,0.15487119117480724,0.3080155218367005,0.17039271852744456,0.07314169749810938,0.11910223565702867,0.013333222693823133,0.3123887658289091,0.0744597583964909,0.027267094157460592,0.41889561365447914,0.41889561365447914,0.0
min,1973.0,0.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
25%,2012.0,10.4,5.3,49.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
50%,2016.0,13.0,6.0,55.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
75%,2018.0,16.0,6.5,61.0,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
max,2020.0,18.0,8.6,70.2,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,3.0
