,year,rating,imdb,rotten,original,action,adult,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film-noir,game-show,history,horror,music,musical,mystery,news,reality-tv,romance,sci-fi,short,sport,talk-show,thriller,war,western,type_movie,type_tv,label
count,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0,1104.0
mean,2013.6684782608695,10.873550724637683,6.743496376811594,72.5663043478261,0.13858695652173914,0.13405797101449277,0.0,0.11413043478260869,0.13007246376811593,0.03134057971014493,0.26304347826086955,0.09818840579710146,0.13931159420289857,0.45108695652173914,0.08278985507246377,0.044021739130434785,0.0,0.006340579710144928,0.034239130434782605,0.04800724637681159,0.027717391304347826,0.012862318840579711,0.0552536231884058,0.001992753623188406,0.042934782608695654,0.12101449275362318,0.030615942028985505,0.0036231884057971015,0.012137681159420289,0.005978260869565218,0.0891304347826087,0.008695652173913044,0.0036231884057971015,0.5480072463768116,0.4519927536231884,2.0
std,5.0343032753548576,5.847058576689473,0.8747729165171391,4.356509132766686,0.3456715849660236,0.3044538237825649,0.0,0.29083860556225266,0.30736147061730906,0.1445147441618721,0.3887961449794747,0.259570006403809,0.28674854778521613,0.4323277101975893,0.24842752471800095,0.1939720411437606,0.0,0.07470471300450332,0.16210805544631324,0.18865275065108936,0.1467441999641108,0.0945349598468209,0.20410459202009013,0.033469867668258296,0.17537653134459646,0.2839822753272015,0.15271843491249426,0.046505317513218514,0.0950132646771441,0.0691913103187623,0.24467041723729288,0.07756798403914492,0.05374048016120825,0.49791552435569353,0.4979155243556935,0.0
min,1993.0,0.0,3.6,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
25%,2011.0,7.0,6.16,69.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
50%,2015.0,12.6,6.8,72.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
75%,2017.0,16.0,7.3,75.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
max,2020.0,18.0,9.4,89.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
