,year,rating,imdb,rotten,original,action,adult,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film-noir,game-show,history,horror,music,musical,mystery,news,reality-tv,romance,sci-fi,short,sport,talk-show,thriller,war,western,type_movie,type_tv,label
count,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0,667.0
mean,2013.1514242878561,13.960719640179908,5.119490254872564,28.92503748125937,0.11544227886056972,0.23088455772113944,0.0014992503748125937,0.10674662668665666,0.0431784107946027,0.014992503748125937,0.37061469265367314,0.12593703148425786,0.0431784107946027,0.4041979010494753,0.06776611694152923,0.05337331334332834,0.0,0.002098950524737631,0.020389805097451277,0.13433283358320838,0.021889055472263868,0.015592203898050975,0.07886056971514244,0.0,0.012593703148425785,0.14272863568215893,0.05667166416791604,0.0014992503748125937,0.025187406296851574,0.0029985007496251873,0.15742128935532235,0.015892053973013492,0.004497751124437781,0.8980509745127436,0.10194902548725637,4.0
std,6.41293106974456,3.752774920170477,1.1199036227078378,9.917534739359418,0.3197947552369821,0.3997818063132386,0.038720154633118314,0.2897644279299283,0.1642000435687553,0.1165705843895579,0.4458417284315465,0.3132252289919517,0.15085572612193726,0.4461181348093776,0.22184380077727578,0.20974713091337546,0.0,0.040214542311350035,0.1256974455740284,0.31850763614189453,0.13083480971282072,0.10624523362889869,0.2574182689994825,0.0,0.09905115077978971,0.3212499842443026,0.22453759991470162,0.03872015463311831,0.14151078638741052,0.05471744234014755,0.3404438998946996,0.11198149935604144,0.06696450077693653,0.302808342508248,0.302808342508248,0.0
min,1985.0,2.8,1.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
25%,2011.0,12.2,4.4,21.299999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
50%,2016.0,13.6,5.2,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
75%,2017.0,18.0,5.8,37.1,0.0,0.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0
max,2020.0,18.0,8.7,45.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0
