title,year,rating,imdb,rotten,service,type,original,minutes,action,adult,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,film-noir,game-show,history,horror,music,musical,mystery,news,reality-tv,romance,sci-fi,short,sport,talk-show,thriller,war,western
A Fairly Odd Summer,2014,all,3.9,,netflix,movie,0,68,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miniforce: New Heroes Rise,2016,,4.7,,netflix,movie,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Something Huge,2017,,4.5,,netflix,movie,0,87,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ayotzinapa: The Turtle's Pace,2018,,7.5,,netflix,movie,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aagey Se Right,2009,all,5.1,,netflix,movie,0,117,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hombanna,2017,,8.5,,netflix,movie,0,\N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Power Rangers Megaforce: Ultimate Team Power,2013,7+,6.9,,netflix,movie,0,95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red Trees,2017,,6.3,56.0,netflix,movie,0,87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pablo Escobar: Angel or Demon?,2008,13+,6.4,,netflix,movie,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theeya Velai Seiyyanum Kumaru,2013,,6.1,,netflix,movie,0,130,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Exile,1931,,5.1,,netflix,movie,0,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sister Code,2015,18+,4.5,,netflix,movie,0,84,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mokalik (Mechanic),2019,,6.6,,netflix,movie,0,100,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All Hallow's Eve,2016,,5.2,,netflix,movie,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eza'et Hobb,2011,,5.5,,netflix,movie,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishtail,2014,,6.6,,netflix,movie,0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
